"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTTUR0277";0,33;0,6;14,96;49,71;275;260,15;273,4;273,4;0,125;48,89;20,07;4,74;0,125;0,32;0,2484857897189;0,01;0,0030441400304414;7,15;1,61516219390982;48,84;1,65703223858384;25,95;13,22;123;0,18;0,05;0,0163078930202218;10,66;0,9;27,34;9,12550066755674;0,25;3,82;0,05;2,4047;2,456;27,8;0,9;0,0125;0,0125;0,0645;0,801212717141921;41,1;39,8;7,29;7,742;0;13,25;15,7;0,056;5,5;NA
"ANTTUR0282";0,38;0,6;3,49;8,97;53;52,48;54,9;54,9;0,08;5,53;2,7;1,14;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;1,78;0,402096322399928;24,92;0,443966367073948;3,68;12,06;138;0,18;0,05;0,0163078930202218;0,5;0,51;2,42;0,807743658210948;0,54;1,55;0,015;0,498;0,4994;28,9;0,51;0,0125;0,0125;0,0382;0,0906260242543428;9,6;8,1;6,35;6,79;0;3,77;10;0,03;4,4;NA
"ANTTUR0287";0,79;0,6;33,26;126,27;661;640,38;659,7;659,7;2,25;97,43;67,91;10,57;0,17;0,47;0,364963503649635;0,37;0,112633181126332;54,19;12,2413481521641;97,04;12,316703737173;58,44;12,99;165,7;0,18;0,05;0,0163078930202218;29;0,85;74,29;24,7963951935915;1,6;15,57;0,37;5,9656;6,1452;27,4;0,91;0,045;0,0125;0,1788;1,59668960996395;197,3;105,2;8,31;8,854;0,3;33,71;7,15;0,18;1,6;NA
"ANTTUR0292";0,26;0,6;3,78;23,86;103,5;100,08;103,2;103,2;0,11;2,5;2,53;1,09;0,05;0,1;0,0776518092871564;0,01;0,0030441400304414;3,99;0,901328273244782;43,96;0,943198317918802;14,49;13,62;135,5;0,18;0,05;0,0163078930202218;1,14;0,76;1,03;0,343791722296395;0,83;3,33;0,0644;0,8985;0,9253;31,7;0,76;0,0125;0,0125;0,039;0,0409701737135365;21,1;6,2;6,3;7,692;0;3,99;8,28;0,037;3,8;NA
"ANTTUR0295";0,38;0,6;1,16;10,24;56,4;54,06;57,3;57,3;0,17;2,5;2,95;0,71;0,13;0,16;0,12424289485945;0,01;0,0030441400304414;0,61;0,137797054305593;28,58;0,179667098979613;5,35;12,24;122,3;0,18;0,05;0,0163078930202218;1,54;0,98;3,56;1,18825100133511;0,66;1,41;0,015;0,4664;0,4581;27,2;0,98;0,0125;0,0125;0,0341;0,0409701737135365;5,9;6,9;5,04;4,86;0;3,24;7,56;0,046;9;NA
"ANTTUR0296";0,27;0,6;4,14;25,07;121,5;116,1;120,6;120,6;0,2;2,5;3,4;1,79;0,125;0,05;0,0388259046435782;0,01;0,0030441400304414;1,05;0,23719165085389;23,92;0,27906169552791;12,59;13,14;109,2;0,18;0,05;0,0163078930202218;3,07;0,73;7,31;2,43991989319092;0,25;1,53;0,04;1,0055;1,0102;25;0,73;0,0125;0,0125;0,0347;0,0409701737135365;13,5;5,8;6,1;6,268;0;4,5;5,81;0,031;3,1;NA
"ANTTUR0297";0,39;0,6;3,76;9,85;56,9;55,29;58,4;58,4;0,13;2,5;3,25;1,33;0,1;0,05;0,0388259046435782;0,01;0,0030441400304414;1,14;0,257522363784223;33,47;0,299392408458243;4,96;12,62;129,1;0,18;0,05;0,0163078930202218;1,91;0,45;4,09;1,36515353805073;0,67;1,82;0,0589;0,4917;0,5363;30,5;0,45;0,0125;0,0125;0,0764;0,0409701737135365;30,9;10,4;5,34;5,31;0;7,23;12,66;0,045;5,6;NA
"ANTTUR0299";0,35;0,6;25,08;38,67;310;295,41;308,9;308,9;0,65;104,57;7,2;5,2;0,12;0,82;0,636744836154682;0,12;0,0365296803652968;1,45;0,327550374988705;51,5;0,942057245814625;31,49;10,92;97,7;0,18;0,33;0,107632093933464;4,85;1,16;12,16;4,05874499332443;1,58;3,53;0,2323;3,0595;3,1289;26,9;1,21;0,0125;0,0125;0,0855;1,71370042608981;18,1;20,4;7,47;7,67;0,1;18,43;9,94;0,12;5;NA
"ANTTUR0300";0,64;0,6;9,73;27,23;165,3;158,85;167;167;1,14;18,9;5,13;3,19;0,125;0,48;0,372728684578351;0,01;0,0030441400304414;0,5;0,112948405168519;49,8;0,450318772020015;16,63;12,24;145,3;0,18;0,05;0,0163078930202218;6,73;0,66;16,54;5,52069425901202;2,12;2,83;0,0779;1,4919;1,5445;24,4;1,06;0,035;0,0125;0,0872;0,309734513274336;365,6;87,8;6,59;7,71;0;8,15;5,92;0,112;3,9;NA
"ANTTUR0301";2,36;0,6;29,13;17,45;457;401,42;433,1;433,1;3,16;9,8;9,66;6,91;0,34;0,27;0,209659885075322;0,01;0,0030441400304414;0,73;0,164904671546038;45,28;0,377608696651801;10,35;12,42;116,3;0,18;0,05;0,0163078930202218;53,88;1,01;143,56;47,9172229639519;1,27;2,17;0,05;3,2538;3,074;26,7;1,25;0,0125;0,0125;0,0594;0,160603080957063;88,4;29,9;6,44;6,742;0,1;31,68;9,38;0,18;6,4;NA
"ANTTUR0302";0,34;0,6;3,86;18,69;110,2;105,36;113,7;113,7;0,24;5,8;6,86;1,88;0,125;0,59;0,458145674794223;0,01;0,0030441400304414;1,51;0,341104183608927;38,35;0,79099915791674;9,41;12,54;143,4;0,18;0,05;0,0163078930202218;3,4;0,68;8,26;2,75700934579439;0,25;2,18;0,0884;0,9906;0,9585;30,7;0,78;0,0125;0,0125;0,0534;0,0950508030154048;27,3;28,1;6,37;6,97;0;8,34;7,34;0,032;2,4;NA
"ANTTUR0304";0,8;0,6;8,3;24,05;164,3;153,19;158,9;158,9;0,41;2,5;9,12;2,05;0,125;1,58;1,22689858673707;0,01;0,0030441400304414;1,79;0,404355290503298;26,75;1,50327786727533;12,38;12,46;114,9;0,18;0,05;0,0163078930202218;13,7;0,55;37,11;12,3865153538051;0,25;3,12;0,31;1,1909;1,1621;25,6;0,85;0,033;0,0125;0,0563;0,0409701737135365;65,9;40,6;5,86;6,14;0;5,71;5,23;0,043;2,7;NA
"ANTTUR0305";1,21;0,6;1,63;40,57;302;282,66;302,5;302,5;1,32;32,16;15,73;0,73;0,125;22,05;17,122223947818;0,2;0,060882800608828;3,49;0,788379868076263;224,18;17,2788779188776;19,06;13,82;150,3;0,18;5,62;1,83300717547293;9,42;0,3;15,9;5,30707610146862;5,36;40,8;4,21;3,0823;2,676;29,1;0,67;0,76;0,037;0,4977;0,527040314650934;7270,5;3966,9;6,8;6,95;0,1;19,84;11,25;0,406;7,1;NA
"ANTTUR0674";1,76;0,6;8,34;32,45;183;187,16;185,2;185,2;2,43;23,88;9,01;3,32;0,19;0,88;0,683335921726976;0,02;0,0060882800608828;0,72;0,162645703442667;94,52;0,720264583307973;18,71;12,81;113,2;0,18;0,36;0,117416829745597;4,11;0,71;8,58;2,86381842456609;0,83;6,12;0,7533;1,7932;1,9612;28,7;0,71;0,12;0,0125;0,2743;0,391347099311701;260,9;357,1;7,08;7,278;0;5,62;5,73;0,168;6;NA
