"codeplas";"Al";"CO3";"Ca";"Cl";"EGV25_veld";"EGV_calc";"EGV_labo";"EGV_tit";"Fe";"HCO3_OEP";"K";"Mg";"Mn";"NH4";"NH4_N";"NO2";"NO2_N";"NO3";"NO3_N";"NPOC";"N_anorg";"Na";"O2_veld";"O2verz";"OH";"PO4";"PO4_P";"S";"SD_veld";"SO4";"SO4_S";"Si";"TN";"TP";"T_anion";"T_kation";"T_veld";"WD_veld";"ZS_105";"ZS_550";"absorptie_440";"alkaliniteit";"chl_a";"faeo";"pH_labo";"pH_veld";"sal_veld";"verschil_EGV_abs";"verschil_EGV_proc";"verschil_IC_abs";"verschil_IC_proc";"turbiditeit"
"ANTTUR0082";0,18;0,6;36,35;62,51;427;404,49;428,3;428,3;1,5;130,54;5,03;5,97;0,1;0,9;0,698866283584407;0,01;0,0030441400304414;1,86;0,420168067226891;33,02;0,7132052641317;38,77;12,4;145,8;0,18;0,05;0,0163078930202218;4,1;0,65;10,37;3,46128170894526;2,12;2,45;0,1489;4,1404;4,201;25,2;0,65;0,0125;0,0125;0,0545;2,13929859062602;69,9;52,4;7,78;8,23;0,1;24,65;9,16;0,123;1,9;NA
"ANTTUR0094";0,58;0,6;4,68;31,73;211;198,85;209,1;209,1;0,47;2,5;13,2;2,4;0,12;6,6;5,12501941295232;0,01;0,0030441400304414;3,98;0,899069305141411;28,2;5,67699280210176;15,61;10,21;111,1;0,18;0,05;0,0163078930202218;11,81;0,59;31,86;10,6341789052069;1,17;7,6;0,53;1,587;1,5566;26,3;0,59;0,143;0,033;0,0383;0,0409701737135365;64,8;47,9;5,81;5,69;0;10,25;4,95;0,046;1,9;NA
"ANTTUR0257";0,35;0,6;1,29;7,82;46,4;45,87;47,5;47,5;0,19;2,5;2,23;0,65;0,05;0,26;0,201894704146607;0,01;0,0030441400304414;0,21;0,047438330170778;17,69;0,2162336846939;4,61;10,25;115,6;0,18;0,05;0,0163078930202218;1,72;0,9;3,59;1,19826435246996;0,25;1,41;0,1357;0,397;0,4054;25,4;0,9;0,0125;0,0125;0,0242;0,0409701737135365;60,9;26,7;5,62;5,481;0;2,72;6,26;0,029;3,9;NA
"ANTTUR0270";0,17;0,6;9,39;5,54;105,3;102,91;106,7;106,7;0,05;46,06;6,57;4,86;0,05;0,39;0,30284205621991;0,01;0,0030441400304414;0,23;0,0519562663775188;82,54;0,317181036767203;3,97;11,63;134,6;0,18;0,05;0,0163078930202218;0,5;0,83;0,54;0,180240320427236;0,25;3,56;0,1575;1,3489;1,1896;30,3;0,83;0,0125;0,0125;0,0322;0,754834480498197;43,7;11,1;7,21;8,308;0;3,79;3,55;0,159;6,3;NA
"ANTTUR0273";0,35;0,6;2,73;5,16;42,3;39,19;42,6;42,6;0,05;7,15;3,52;0,87;0,05;0,4;0,310607237148626;0,01;0,0030441400304414;0,22;0,0496972982741484;35,12;0,324946217695919;3,43;10,09;119,4;0,18;0,05;0,0163078930202218;0,5;1,36;0,56;0,186915887850467;0,51;1,69;0,1656;0,4211;0,4402;29,9;1,36;0,0125;0,0125;0,0469;0,117174696820715;114,3;66,9;6,28;6,339;0;3,41;11,28;0,032;4;NA
"ANTTUR0277";0,33;0,6;14,96;49,71;275;260,15;273,4;273,4;0,05;48,89;20,07;4,74;0,05;0,12;0,0931821711445877;0,01;0,0030441400304414;0,55;0,124243245685371;48,84;0,212704375931684;25,95;10,16;123;0,18;0,05;0,0163078930202218;10,66;0,81;27,34;9,12550066755674;0,25;3,82;0,05;2,4047;2,456;27,8;0,81;0,0125;0,0125;0,0645;0,801212717141921;41,1;15;7,02;7,374;0;13,25;4,9;0,051;2,4;NA
"ANTTUR0282";0,3;0,6;3,49;8,97;53;52,48;54,9;54,9;0,05;5,53;2,01;1,14;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,31;0,0700280112044818;24,92;0,111898055878501;3,68;11,7;138;0,18;0,05;0,0163078930202218;0,5;0,49;2,11;0,704272363150868;0,54;1,48;0,015;0,498;0,4994;28,9;0,49;0,0125;0,0125;0,032;0,0906260242543428;9,6;8,1;6,35;6,79;0;3,77;10;0,022;3,2;NA
"ANTTUR0287";0,79;0,6;33,26;126,27;661;640,38;659,7;659,7;2,25;97,43;67,91;10,05;0,17;0,13;0,100947352073303;0,37;0,112633181126332;54,19;12,2413481521641;97,04;12,316703737173;58,44;12,99;165,7;0,18;0,05;0,0163078930202218;29;0,79;74,29;24,7963951935915;0,66;15,57;0,37;5,9656;6,1452;27,4;0,79;0,045;0,0125;0,1788;1,59668960996395;197,3;105,2;8,31;8,854;0,3;33,71;7,15;0,18;1,6;NA
"ANTTUR0292";0,24;0,6;3,78;23,86;103,5;100,08;103,2;103,2;0,11;2,5;2,53;1,09;0,05;0,1;0,0776518092871564;0,01;0,0030441400304414;2,04;0,460829493087558;43,96;0,502699537761578;14,49;10,32;135,5;0,18;0,05;0,0163078930202218;1,14;0,76;1,03;0,343791722296395;0,83;3,33;0,0644;0,8985;0,9253;31,7;0,76;0,0125;0,0125;0,039;0,0409701737135365;12,9;6,2;6,3;6,49;0;3,99;7,05;0,037;3,2;NA
"ANTTUR0295";0,37;0,6;0,95;10,24;56,4;54,06;57,3;57,3;0,05;2,5;2,95;0,71;0,13;0,16;0,12424289485945;0,01;0,0030441400304414;0,61;0,137797054305593;28,58;0,179667098979613;5,35;9,87;122,3;0,18;0,05;0,0163078930202218;1,27;0,82;2,69;0,897863818424566;0,25;1,41;0,015;0,4664;0,4581;27,2;0,82;0,0125;0,0125;0,0283;0,0409701737135365;5,9;6,9;4,99;4,851;0;3,24;7,56;0,04;7,3;NA
"ANTTUR0296";0,24;0,6;4,14;25,07;121,5;116,1;120,6;120,6;0,14;2,5;3,4;1,79;0,05;0,05;0,0388259046435782;0,01;0,0030441400304414;0,37;0,0835818198247041;23,92;0,125451864498724;12,59;10,39;109,2;0,18;0,05;0,0163078930202218;3,07;0,69;7,31;2,43991989319092;0,25;1,53;0,04;1,0055;1,0102;25;0,69;0,0125;0,0125;0,0327;0,0409701737135365;13,5;5,8;6,1;6,03;0;4,5;5,81;0,031;2,7;NA
"ANTTUR0297";0,39;0,6;3,76;9,1;56,9;55,29;58,4;58,4;0,05;2,5;3,25;1,33;0,1;0,05;0,0388259046435782;0,01;0,0030441400304414;1,14;0,257522363784223;33,47;0,299392408458243;4,96;11,09;129,1;0,18;0,05;0,0163078930202218;1,91;0,4;4,09;1,36515353805073;0,67;1,82;0,0589;0,4917;0,5363;30,5;0,4;0,0125;0,0125;0,0764;0,0409701737135365;30,9;10,4;5,34;5,31;0;3,28;7,81;0,045;5,6;NA
"ANTTUR0299";0,23;0,6;25,08;38,67;310;295,41;308,9;308,9;0,65;104,57;7,2;5,2;0,12;0,82;0,636744836154682;0,12;0,0365296803652968;0,97;0,219119906026927;51,5;0,783963953585128;31,49;9,63;94,8;0,18;0,05;0,0163078930202218;4,85;1,01;12,16;4,05874499332443;0,99;3,53;0,2323;3,0595;3,1289;26,9;1,21;0,0125;0,0125;0,0855;1,71370042608981;18,1;20,4;7,47;7,46;0,1;13,49;6,67;0,12;5;NA
"ANTTUR0300";0,53;0,6;9,29;27,23;165,3;158,85;167;167;1,14;18,9;5,13;3,08;0,1;0,48;0,372728684578351;0,01;0,0030441400304414;0,33;0,0745459474112226;47,28;0,450318772020015;16,63;12,24;145,3;0,18;0,05;0,0163078930202218;5,6;0,49;13,89;4,63618157543391;0,82;2,83;0,0779;1,4919;1,5445;24,4;0,83;0,035;0,0125;0,0859;0,309734513274336;257,7;87,8;6,59;7,71;0;8,15;5,92;0,112;3,9;NA
"ANTTUR0301";0,42;0,6;3,31;17,45;100,3;97,1;99,7;99,7;0,52;7,83;4,43;1,61;0,05;0,27;0,209659885075322;0,01;0,0030441400304414;0,73;0,164904671546038;45,28;0,377608696651801;10,35;10,9;116,3;0,18;0,05;0,0163078930202218;3,12;0,83;6,89;2,29973297730307;0,25;2,17;0,04;0,9556;0,8986;26,7;1,24;0,0125;0,0125;0,0594;0,128318584070796;88,4;26,4;6,44;6,742;0;2,93;3,98;0,057;4,1;NA
"ANTTUR0302";0,24;0,6;3,86;18,69;110,2;105,36;113,7;113,7;0,18;5,8;6,86;1,88;0,05;0,23;0,17859916136046;0,01;0,0030441400304414;0,23;0,0519562663775188;38,35;0,192938141907753;9,41;10,79;143,4;0,18;0,05;0,0163078930202218;3,4;0,6;8,26;2,75700934579439;0,25;2,18;0,0617;0,9906;0,9585;30,7;0,78;0,0125;0,0125;0,0426;0,0950508030154048;10,7;28,1;6,29;6,97;0;8,34;7,34;0,032;2;NA
"ANTTUR0304";0,41;0,6;3,05;24,05;141,9;135,72;140,4;140,4;0,41;2,5;9,12;2,05;0,05;1,58;1,22689858673707;0,01;0,0030441400304414;1,21;0,273335140507816;26,75;1,50327786727533;12,38;11,62;114,9;0,18;0,05;0,0163078930202218;6,21;0,55;15,71;5,24365821094793;0,25;3,12;0,15;1,1573;1,1503;25,6;0,78;0,027;0,0125;0,0563;0,0409701737135365;47,1;30,2;5,86;6,14;0;5,14;5,23;0,029;2,7;NA
"ANTTUR0305";1,21;0,6;1,63;40,57;302;282,66;302,5;302,5;1,32;32,16;15,73;0,66;0,05;22,05;17,122223947818;0,2;0,060882800608828;2,73;0,616698292220114;224,18;17,2788779188776;19,06;13,82;150,3;0,18;5,62;1,83300717547293;9,42;0,24;15,74;5,25367156208278;5,36;40,8;4,21;3,0823;2,676;29,1;0,65;0,76;0,0125;0,4977;0,527040314650934;7270,5;3966,9;6,8;6,95;0,1;19,84;11,25;0,406;7,1;NA
"ANTTUR0674";1,76;0,6;8,34;32,45;183;187,16;185,2;185,2;2,43;23,88;9,01;3,32;0,19;0,88;0,683335921726976;0,02;0,0060882800608828;0,47;0,106171500858408;94,52;0,720264583307973;18,71;10,4;113,2;0,18;0,36;0,117416829745597;4,11;0,68;8,58;2,86381842456609;0,25;6,12;0,7533;1,7932;1,9612;28,7;0,68;0,12;0,0125;0,2743;0,391347099311701;260,9;357,1;7,08;7,278;0;5,62;5,73;0,168;6;NA
